frn,pi_name,wos_uid,title,first_author,pmid,doi,pub_year,pub_month,grant_start_date,grant_end_date,grant_type,institution,total_amount,competition_year,num_other_fundings,other_funding_names,primary_theme
137431,Paul Yong,WOS:000444613700006,Deep Dyspareunia and Sexual Quality of Life in Women With Endometriosis,"Shum, Leona K.",MEDLINE:29801714,10.1016/j.esxm.2018.04.006,2018,9,10/1/2014,9/30/2015,Operating Grant - Priority Announcement: Reproductive and Child Heath (start-up grants),University of British Columbia,100000,201314,7,"Canadian Institutes of Health Research (CIHR) Operating Grant Priority Announcement (Reproductive & Child Health Start-up Grant) from the Institute of Human Development, CIHR Transitional Open Operating Grant MOP-142273, BC Women's Hospital, Women's Health Research Institute, VGH, UBC Hospital Foundation (Mentored Clinician Scientist Award), Michael Smith Foundation for Health Research",Clinical
137431,Paul Yong,WOS:000429928600008,Nerve Growth Factor Is Associated With Sexual Pain in Women With Endometriosis,"Peng, Bo",MEDLINE:28673205,10.1177/1933719117716778,2018,4,10/1/2014,9/30/2015,Operating Grant - Priority Announcement: Reproductive and Child Heath (start-up grants),University of British Columbia,100000,201314,4,"Canadian Institutes of Health Research (CIHR) Operating Grant Priority Announcement (Reproductive & Child Health Start-up Grant) from the Institute of Human Development, CIHR MOP-142273, VCHRI Investigator Award by the VGH, UBC Hospital Foundation",Clinical
137431,Paul Yong,WOS:000428803600008,Pain Catastrophizing and Pain Health-Related Quality-of-Life in Endometriosis,"McPeak, Allison E.",MEDLINE:28731958,10.1097/AJP.0000000000000539,2018,4,10/1/2014,9/30/2015,Operating Grant - Priority Announcement: Reproductive and Child Heath (start-up grants),University of British Columbia,100000,201314,10,"Canadian Institutes of Health Research (CIHR) Operating Grant Priority Announcement (Reproductive and Child Health Start-up Grant) from Institute of Human Development, Child and Youth Health Vancouver, BC, CIHR Vancouver, BC, Canada MOP-142273, VCHRI Investigator Award by VGH, UBC Hospital Foundation, Women's Health Research Institute, BC Women's Hospital Foundation",Clinical
137431,Paul Yong,WOS:000410676800008,Anatomic Sites and Associated Clinical Factors for Deep Dyspareunia,"Yong, Paul J.",MEDLINE:28778678,10.1016/j.esxm.2017.07.001,2017,9,10/1/2014,9/30/2015,Operating Grant - Priority Announcement: Reproductive and Child Heath (start-up grants),University of British Columbia,100000,201314,3,"Canadian Institutes of Health Research (CIHR) from the Institute of Human Development, CIHR MOP-142273, VCHRI from the VGH and UBC Hospital Foundation",Clinical
137431,Paul Yong,WOS:000400891100009,Cancer-Associated Mutations in Endometriosis without Cancer,"Anglesio, M. S.",MEDLINE:28489996,10.1056/NEJMoa1614814,2017,5,10/1/2014,9/30/2015,Operating Grant - Priority Announcement: Reproductive and Child Heath (start-up grants),University of British Columbia,100000,201314,31,"Richard W. TeLinde Gynecologic Pathology Research Program at Johns Hopkins University, Virginia and D.K. Ludwig Fund for Cancer Research, Ephraim and Wilma Shaw Roseman Foundation, Endometriosis Foundation of America, National Institutes of Health, National Cancer Institute P50-CA62924, National Cancer Institute CA06973, National Cancer Institute GM07184, National Cancer Institute GM07309, National Cancer Institute CA09243, National Cancer Institute CA57345, National Cancer Institute P30-CA006973, National Cancer Institute CA215483, National Cancer Institute UO1-CA200469, Gray Family Ovarian Clear Cell Carcinoma Research Resource, Canadian Cancer Society 701603, Canadian Institutes of Health Research MOP-142273, Canadian Foundation for Innovation, British Columbia Knowledge Development Fund, Women's Health Research Institute (Nelly Auersperg Grant), Canadian Foundation for Women's Health (General Research Grant), BC Women's Hospital, Health Centre Foundation, BC Cancer Foundation, VGH and UBC Hospital Foundation, Jemini Foundation, Mentored Clinician-Scientist Award of the Vancouver Coastal Health Research Institute, Dutch Cancer Society translational research fellowship KWF 2013-5869, National Cancer Institute P30CA006973, National Cancer Institute R01CA215483, National Cancer Institute P50CA062924",Clinical
137431,Paul Yong,WOS:000389514400019,Multifactorial contributors to the severity of chronic pelvic pain in women,"Yosef, Ali",MEDLINE:27443813,10.1016/j.ajog.2016.07.023,2016,12,10/1/2014,9/30/2015,Operating Grant - Priority Announcement: Reproductive and Child Heath (start-up grants),University of British Columbia,100000,201314,5,"Canadian Institutes of Health Research Operating Grant Priority Announcement (Reproductive and Child Health Start-up Grant) from the Institute of Human Development, Vancouver General Hospital, University of British Columbia Hospital Foundation, Women's Health Research Institute, British Columbia Women's Hospital Foundation",Clinical
137431,Paul Yong,WOS:000379030700009,Nerve Bundles and Deep Dyspareunia in Endometriosis,"Williams, Christina",MEDLINE:26711313,10.1177/1933719115623644,2016,7,10/1/2014,9/30/2015,Operating Grant - Priority Announcement: Reproductive and Child Heath (start-up grants),University of British Columbia,100000,201314,4,"University of British Columbia (UBC) Faculty of Medicine Start-up Grant, Canadian Institutes of Health Research (CIHR) Operating Grant Priority Announcement (Reproductive & Child Health Start-up Grant) from the Institute of Human Development, UBC Department of Pathology, Mentored Clinician Scientist Award from the Vancouver Coastal Health Research Institute",Clinical
142230,Warren Foster,WOS:000743456300002,A critical appraisal of the circulating levels of differentially expressed microRNA in endometriosis,"Leonova, Anna",MEDLINE:34244742,10.1093/biolre/ioab134,2021,7,7/1/2015,6/30/2021,Operating Grant,McMaster University,846902,201415,0,,Biomedical
142273,Paul Yong,WOS:001552884500001,Factors Affecting Hormonal Therapy Ineffectiveness and Discontinuation due to Adverse Effects in Patients with Endometriosis-Associated Pain,"Fayek, Bahi",MEDLINE:40826213,10.1007/s43032-025-01947-y,2025,8,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,3,"Canadian Society for the Advancement of Gynecologic Excellence (CanSAGE)/Pfizer, Canadian Institutes of Health Research (CIHR) PJT-156084, Egyptian Ministry of Higher Education",Clinical
142273,Paul Yong,WOS:000957474900001,KRAS mutations and endometriosis burden of disease,"Orr, Natasha L.",MEDLINE:36977195,10.1002/cjp2.317,2023,3,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,8,"Vancouver General Hospital Anatomical Pathology department, Genetic Pathology Evaluation Centre (GPEC), Molecular and Advanced Pathology Core (MAPcore) - Michael Smith Health BC Scholar Salary Award, UBC summer student research program, Michael Smith Health BC Scholar Salary Award, Michael Smith Health BC Health Professional Investigator Salary Award, Canada Research Chair (Tier 2) in Endometriosis and Pelvic Pain, Canadian Institutes of Health Research (CIHR) PJT-156084",Clinical
