frn,pi_name,wos_uid,title,first_author,pmid,doi,pub_year,pub_month,grant_start_date,grant_end_date,grant_type,institution,total_amount,competition_year,num_other_fundings,other_funding_names,primary_theme
154290,David Huntsman,WOS:001282698300001,The unique metabolome of clear cell ovarian carcinoma,"Ji, Jennifer X.",MEDLINE:39096103,10.1002/path.6329,2024,8,7/1/2017,6/30/2024,Foundation Grant,University of British Columbia,2699832,201617,9,"Canadian Cancer Society (Impact grant) 705647, BC Cancer Foundation, Vanier Canada graduate scholarship, UBC-BCCA MD/PhD studentship, Dr Chew Wei Memorial Professorship in Gynaecologic Oncology, Canada Research Chairs program, Canadian Cancer Society, VGH & UBC Hospital Foundation, Michael Smith Health Research BC Scholar Award",Biomedical
154290,David Huntsman,WOS:000867848300001,The proteome of clear cell ovarian carcinoma,"Ji, Jennifer X.",MEDLINE:36031730,10.1002/path.6006,2022,10,7/1/2017,6/30/2024,Foundation Grant,University of British Columbia,2699832,201617,9,"Canadian Cancer Society (Impact grant) 705647, VGH and UBC Hospital Foundation, BC Cancer Foundation, Terry Fox Research Institute and Ovarian Cancer Canada, Vanier Canada graduate scholarship, UBC-BCCA MD/PhD studentship, Dr. Chew Wei Memorial Professorship in Gynecologic Oncology, Canada Research Chairs program (Research Chair in Molecular and Genomic Pathology), National Cancer Institute R01CA248288",Biomedical
154290,David Huntsman,WOS:000691894500001,<i>FOXL2</i> in adult-type granulosa cell tumour of the ovary: oncogene or tumour suppressor gene?,"Pilsworth, Jessica A.",MEDLINE:34338304,10.1002/path.5771,2021,9,7/1/2017,6/30/2024,Foundation Grant,University of British Columbia,2699832,201617,8,"Universite de Paris, Centre National de la Recherche Scientifique, Commissariat a L'Energie Atomique et aux Energies Alternatives, The Terry Fox Research Institute New Frontiers Program Project 1082, BC Cancer Foundation, Vancouver General Hospital (VGH) & University of British Columbia (UBC) Hospital Foundation, University of British Columbia Four-Year Doctoral Fellowship, Sigrid Juselius Foundation",Biomedical
154290,David Huntsman,WOS:000662279100001,STING pathway expression in low-grade serous carcinoma of the ovary: an unexpected therapeutic opportunity?,"Huvila, Jutta",MEDLINE:34138519,10.1002/cjp2.230,2021,6,7/1/2017,6/30/2024,Foundation Grant,University of British Columbia,2699832,201617,4,"BC Cancer Foundation, Vancouver General Hospital (VGH) & University of British Columbia (UBC) Hospital Foundation, Dr. Chew Wei Memorial Professorship in Gynecologic Oncology, Canada Research Chairs Program (Research Chair in Molecular and Genomic Pathology)",Biomedical
154290,David Huntsman,WOS:000606605900001,Adult-type granulosa cell tumor of the ovary: a <i>FOXL2</i>-centric disease,"Pilsworth, Jessica A.",MEDLINE:33428330,10.1002/cjp2.198,2021,1,7/1/2017,6/30/2024,Foundation Grant,University of British Columbia,2699832,201617,7,"Terry Fox Research Institute New Frontiers Program 1082, BC Cancer Foundation, Vancouver General Hospital (VGH), University of British Columbia (UBC) Hospital Foundation, University of British Columbia Four-Year Doctoral Fellowship, Dr. Chew Wei Memorial Professorship in Gynecologic Oncology, Canada Research Chairs Program (Research Chair in Molecular and Genomic Pathology)",Biomedical
154290,David Huntsman,WOS:000558688100027,"Arginine Depletion Therapy with ADI-PEG20 Limits Tumor Growth in Argininosuccinate Synthase-Deficient Ovarian Cancer, Including Small-Cell Carcinoma of the Ovary, Hypercalcemic Type","Ji, Jennifer X.",MEDLINE:32409304,10.1158/1078-0432.CCR-19-1905,2020,8,7/1/2017,6/30/2024,Foundation Grant,University of British Columbia,2699832,201617,11,"Canadian Cancer Society Research Institute 705647, Canadian Cancer Society Research Institute 703458, NCI of NIH (United States) 1R01CA195670-01, Terry Fox Research Institute Initiative New Frontiers Program in Cancer TFF1021, Janet D. Cottrelle Foundation through the BC Cancer Foundation, VGH & UBC Hospital Foundation, BC Cancer Foundation, Vanier Canada, UBC-BCCA MD/PhD studentship, Dr. Chew Wei Memorial Professorship in Gynecologic Oncology, Canada Research Chairs program (Research Chair in Molecular and Genomic Pathology)",Biomedical
154290,David Huntsman,WOS:000510144800019,SWI/SNF Complex Mutations in Gynecologic Cancers: Molecular Mechanisms and Models,"Wang, Yemin",MEDLINE:31977292,10.1146/annurev-pathmechdis-012418-012917,2020,1,7/1/2017,6/30/2024,Foundation Grant,University of British Columbia,2699832,201617,5,"National Cancer Institute of the US National Institutes of Health 1R01CA195670-01, Terry Fox Research Institute's New Frontiers Program in Cancer TFF1021, BC Cancer Foundation, VGH & UBC Hospital Foundation, Vanier Canada Graduate Scholarship",Biomedical
154290,David Huntsman,WOS:000478363700001,Oncogenic mutations in histologically normal endometrium: the new normal?,"Lac, Vivian",MEDLINE:31187483,10.1002/path.5314,2019,7,7/1/2017,6/30/2024,Foundation Grant,University of British Columbia,2699832,201617,9,"Canadian Cancer Society 701603, Janet D. Cottrelle Foundation through the BC Cancer Foundation, VGH & UBC Hospital Foundation, BC Cancer Foundation, Janet D. Cottrelle Foundation Scholars fund, Canada Research Chairs program (Research Chair in Molecular and Genomic Pathology), Michael Smith Foundation for Health Research Health Professional-Investigator Award, Canadian Institutes of Health Research, Dr. Chew Wei Memorial Professorship in Gynecologic Oncology",Biomedical
154290,David Huntsman,WOS:000459324600009,Iatrogenic endometriosis harbors somatic cancer-driver mutations,"Lac, V.",MEDLINE:30428062,10.1093/humrep/dey332,2019,1,7/1/2017,6/30/2024,Foundation Grant,University of British Columbia,2699832,201617,16,"Canadian Cancer Society Impact Grant 701603, Canadian Institutes of Health Research Transitional Open Operating Grant MOP-142273, Canadian Institutes of Health Research Project Grant PJT-156084, Janet D. Cottrelle Foundation through the BC Cancer Foundation, BC Women's Hospital, Health Centre Foundation, Women's Health Research Institute, BC Cancer Foundation, VGH, UBC Hospital Foundation, Canadian Institutes of Health Research, Dutch Cancer Society KWF 2013-5869, Michael Smith Foundation, Janet D. Cottrelle Foundation Scholars fund, Dr Chew Wei Memorial Professorship in Gynecologic Oncology, Canada Research Chairs program (Research Chair in Molecular and Genomic Pathology)",Biomedical
156084,Paul Yong,WOS:001748285900001,Mid-Cycle Pain in Endometriosis: Clinical Correlations and Potential Etiological Factors,"Rojas, Hannah E.",MEDLINE:42026880,10.1177/15409996261443813,2026,4,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,2,"Canada Research Chairs Program, CIHR PJT-183713",Clinical
156084,Paul Yong,WOS:001740700400020,Endometriosis Pain Index: development of a model to predict poor pain-related quality of life after endometriosis surgery through machine learning analysis of registry data,"Tucker, Dwayne R.",MEDLINE:41746699,10.1097/j.pain.0000000000003915,2026,5,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,6,"Canadian Institutes of Health Research (CIHR) project grant PGT-183713, Health Professional Investigator award from the Michael Smith Health Research BC, Canada, Canada Research Chair (Tier 2) in Endometriosis and Pelvic Pain, Canada Research Chairs Program, Graduate Award in Women's Health from the BC Women's Health Research Institute/BC Women's Health Foundation",Clinical
156084,Paul Yong,WOS:001552884500001,Factors Affecting Hormonal Therapy Ineffectiveness and Discontinuation due to Adverse Effects in Patients with Endometriosis-Associated Pain,"Fayek, Bahi",MEDLINE:40826213,10.1007/s43032-025-01947-y,2025,8,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,3,"Canadian Society for the Advancement of Gynecologic Excellence (CanSAGE)/Pfizer, Canadian Institutes of Health Research (CIHR) MOP-142273, Egyptian Ministry of Higher Education",Clinical
156084,Paul Yong,WOS:001386815400001,Nociplastic Pain in Endometriosis: A Scoping Review,"Gentles, Avonae",MEDLINE:39768444,10.3390/jcm13247521,2024,12,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,2,"Canadian Institutes for Health Research, Canada Research Chairs program",Clinical
156084,Paul Yong,WOS:001282063100001,Women's Self-Management of Dyspareunia Associated With Endometriosis: A Qualitative Study,"Howard, A. Fuchsia",MEDLINE:38341015,10.1016/j.jpain.2024.02.006,2024,7,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,3,"Scholar Salary Award, Health Professional Investigator Salary Award from the Michael Smith Health Research, Tier 2 Canada Research Chair in Endometriosis and Pelvic Pain",Clinical
156084,Paul Yong,WOS:001273844300001,Pain with orgasm in endometriosis: potential etiologic factors and clinical correlates,"Ding, Avrilynn",MEDLINE:39039031,10.1093/jsxmed/qdae084,2024,7,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,0,0,Clinical
156084,Paul Yong,WOS:001206696100001,Outcomes After Surgery at an Interdisciplinary Centre of Expertise for Endometriosis and Pelvic Pain in Canada: A Prospective Cohort Study,"Lee, Caroline E.",MEDLINE:38442956,10.1016/j.jogc.2023.102246,2024,3,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,5,"Canadian Institutes of Health Research Project Grant, Canada Graduate Scholarships-Masters award, Michael Smith Foundation for Health Research, Canada, Canada Research Chair (Tier 2) in Endometriosis and Pelvic Pain",Clinical
156084,Paul Yong,WOS:000957474900001,KRAS mutations and endometriosis burden of disease,"Orr, Natasha L.",MEDLINE:36977195,10.1002/cjp2.317,2023,3,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,8,"Vancouver General Hospital Anatomical Pathology department, Genetic Pathology Evaluation Centre (GPEC), Molecular and Advanced Pathology Core (MAPcore) - Michael Smith Health BC Scholar Salary Award, UBC summer student research program, Michael Smith Health BC Scholar Salary Award, Michael Smith Health BC Health Professional Investigator Salary Award, Canada Research Chair (Tier 2) in Endometriosis and Pelvic Pain, Canadian Institutes of Health Research (CIHR) MOP-142273",Clinical
156084,Paul Yong,WOS:001355930700007,Interleukin-1β and plasminogen activating system members in endometriotic stromal cell migration/ invasion,"Alotaibi, Fahad T.",MEDLINE:36152991,10.1016/j.xfss.2022.09.004,2023,2,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,3,"Canadian Institutes of Health Research (CIHR) MOP-142273, Health Professional Investigator (HPI) Salary Award from Michael Smith Health Research BC, Canada Research Chair (Tier 2) in Endometriosis and Pelvic Pain",Clinical
156084,Paul Yong,WOS:000787631400036,Developing an Educational Website for Women With Endometriosis-Associated Dyspareunia: Usability and Stigma Analysis,"Abdulai, Abdul-Fatawu",MEDLINE:35238789,10.2196/31317,2022,1,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,0,0,Clinical
156084,Paul Yong,WOS:000742403300011,Central sensitization inventory in endometriosis,"Orr, Natasha L.",MEDLINE:34030173,10.1097/j.pain.0000000000002351,2022,2,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,4,"Canadian Institutes of Health Research (CIHR) MOP142273, Women's Health Research Institute, BC Women's Hospital and Health Center Foundation, Michael Smith Foundation for Health Research",Clinical
156084,Paul Yong,WOS:001034050500001,Machine Learning Revealed New Correlates of Chronic Pelvic Pain in Women,"Elgendi, Mohamed",MEDLINE:34713065,10.3389/fdgth.2020.600604,2020,12,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,2,"Canadian Institutes of Health Research CIHR MOP-142273, Health Professional Investigator Award from the Michael Smith Foundation for Health Research",Clinical
156084,Paul Yong,WOS:000590349200010,ARID1A Mutations Promote P300-Dependent Endometrial Invasion through Super-Enhancer Hyperacetylation,"Wilson, Mike R.",MEDLINE:33176148,10.1016/j.celrep.2020.108366,2020,11,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,6,"American Cancer Society Postdoctoral Fellowship PF-17-163-02-DDC, Michael Smith Foundation for Health Research, Mary Kay Foundation 026-16, Ovarian Cancer Research Fund Alliance (OCRFA) 457446, NIH National Institute for Child Health and Human Development HD099383-01, Eunice Kennedy Shriver National Institute of Child Health and Human Development R01HD096259",Clinical
156084,Paul Yong,WOS:000569049800017,"Role of interleukin-1β in nerve growth factor expression, neurogenesis and deep dyspareunia in endometriosis","Peng, Bo",MEDLINE:32240297,10.1093/humrep/deaa017,2020,4,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,4,"Canadian Institutes of Health Research MOP-142273, Health Professional Investigator Award from the Michael Smith Foundation for Health Research, Abbvie, Allergan",Clinical
156084,Paul Yong,WOS:000525028800001,A Quantitative Analysis of Sleep Quality in Women with Endometriosis,"Arion, Kristina",MEDLINE:32176592,10.1089/jwh.2019.8008,2020,3,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,2,"Canadian Institutes of Health Research MOP-142273, Health Professional Investigator Award from the Michael Smith Foundation for Health Research",Clinical
156084,Paul Yong,WOS:000523567000021,Phenotyping Sexual Pain in Endometriosis Using the Central Sensitization Inventory,"Orr, Natasha L.",MEDLINE:31983669,10.1016/j.jsxm.2019.12.019,2020,4,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,4,"Canadian Institutes of Health Research (CIHR) MOP142273, Women's Health Research Institute, BC Women's Hospital and Health Centre Foundation, Health Professional Investigator Award from the Michael Smith Foundation for Health Research",Clinical
156084,Paul Yong,WOS:000520044500004,Endometriosis and Negative Perception of the Medical Profession,"Ng, Nicole",MEDLINE:31864912,10.1016/j.jogc.2019.08.034,2020,3,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,4,"Canadian Institutes of Health Research (CIHR) Transitional Operating Grant MOP-142273, BC Women's Hospital, Michael Smith Foundation for Health Research, Women's Health Research Institute",Clinical
156084,Paul Yong,WOS:000459324600009,Iatrogenic endometriosis harbors somatic cancer-driver mutations,"Lac, V.",MEDLINE:30428062,10.1093/humrep/dey332,2019,1,4/1/2018,3/31/2022,Project Grant,University of British Columbia,1002376,201718,16,"Canadian Cancer Society Impact Grant 701603, Canadian Institutes of Health Research Transitional Open Operating Grant MOP-142273, Canadian Institutes of Health Research Foundation FDN-154290, Janet D. Cottrelle Foundation through the BC Cancer Foundation, BC Women's Hospital, Health Centre Foundation, Women's Health Research Institute, BC Cancer Foundation, VGH, UBC Hospital Foundation, Canadian Institutes of Health Research, Dutch Cancer Society KWF 2013-5869, Michael Smith Foundation, Janet D. Cottrelle Foundation Scholars fund, Dr Chew Wei Memorial Professorship in Gynecologic Oncology, Canada Research Chairs program (Research Chair in Molecular and Genomic Pathology)",Clinical
183713,Paul Yong,WOS:001748285900001,Mid-Cycle Pain in Endometriosis: Clinical Correlations and Potential Etiological Factors,"Rojas, Hannah E.",MEDLINE:42026880,10.1177/15409996261443813,2026,4,10/1/2022,9/30/2026,Project Grant,University of British Columbia,726949,202122,2,"Canada Research Chairs Program, CIHR PJT-156084",Clinical
183713,Paul Yong,WOS:001740700400020,Endometriosis Pain Index: development of a model to predict poor pain-related quality of life after endometriosis surgery through machine learning analysis of registry data,"Tucker, Dwayne R.",MEDLINE:41746699,10.1097/j.pain.0000000000003915,2026,5,10/1/2022,9/30/2026,Project Grant,University of British Columbia,726949,202122,6,"Canadian Institutes of Health Research (CIHR) project grant PJT-156084, Health Professional Investigator award from the Michael Smith Health Research BC, Canada, Canada Research Chair (Tier 2) in Endometriosis and Pelvic Pain, Canada Research Chairs Program, Graduate Award in Women's Health from the BC Women's Health Research Institute/BC Women's Health Foundation",Clinical
183713,Paul Yong,WOS:001465373000001,Pain sensitivity questionnaire in endometriosis,"Gentles, Avonae J.",MEDLINE:40049377,10.1016/j.jpain.2025.105357,2025,4,10/1/2022,9/30/2026,Project Grant,University of British Columbia,726949,202122,0,0,Clinical
187578,Danielle Sisnett,WOS:001627107900001,"An investigation of the IL-23/Th17 axis and transcriptomic profiles of Th1, Th1/17, and Th17 cells in endometriosis patients as compared to controls","Sisnett, Danielle Joy",MEDLINE:42023240,10.1093/jimmun/vkaf283.1018,2025,11,9/1/2023,4/30/2026,Doctoral Research Award,Queen's University,115000,202223,1,Canadian Institutes of Health Research (CIHR) 394570,Biomedical
142273,Paul Yong,WOS:001287525000429,Somatic PTEN and ARID1A loss and endometriosis disease burden: a longitudinal study.,"Tucker, Dwayne",MEDLINE:39701665,10.1093/humrep/deae269,2025,3,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,0,0,Clinical
142273,Paul Yong,WOS:001232587300001,Nerve Bundle Density and Expression of NGF and IL-1β Are Intra-Individually Heterogenous in Subtypes of Endometriosis.,"Sreya, Mahfuza",MEDLINE:38785989,10.3390/biom14050583,2024,5,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,1,Canadian Institutes of Health Research,Clinical
142273,Paul Yong,WOS:001047127000001,Pelvic pain comorbidities associated with quality of life after endometriosis surgery.,"Tucker, Dwayne R.",MEDLINE:37148956,10.1016/j.ajog.2023.04.040,2023,7,7/1/2015,6/30/2018,Operating Grant,University of British Columbia,282868,201415,1,2021-2022 Graduate Award in Women's Health Women's Health Research Institute/BC Women's Health Foundation,Clinical
13382,Robert Reid,0,0,0,0,0,0,0,4/1/1999,3/31/2001,Operating Grant,"Queen's University (Kingston, Ontario)",93032,199899,0,0,
14702,Derrick Rancourt,0,0,0,0,0,0,0,4/1/2001,9/30/2001,Operating Grant,University of Calgary,7035,200001,0,0,Biomedical
53201,Derrick Rancourt,0,0,0,0,0,0,0,4/1/2002,3/31/2005,Operating Grant,University of Calgary,4383,200102,0,0,Biomedical
58107,Li Ma,0,0,0,0,0,0,0,7/1/2002,1/31/2004,CIHR Fellowship,"Sunnybrook Research Institute (Toronto, Ontario)",67167,200203,0,0,Biomedical
60776,Warren Foster,0,0,0,0,0,0,0,10/1/2002,3/31/2003,Operating Grant - Priority Announcement: Institute of Gender and Health,McMaster University,41735,200102,0,0,Biomedical
62673,Wenguang Cao,0,0,0,0,0,0,0,4/1/2003,12/31/2003,CIHR/Rx&D Research Program - Fellowships,,32000,200203,0,0,Clinical
62681,Warren Foster,0,0,0,0,0,0,0,4/1/2003,3/31/2006,Operating Grant,McMaster University,21859,200203,0,0,Biomedical
64234,Robert Casper,0,0,0,0,0,0,0,10/1/2003,9/30/2006,Operating Grant,Lunenfeld-Tanenbaum Research Institute (Toronto),415794,200203,0,0,Clinical
75235,Kibangou Bondza,0,0,0,0,0,0,0,4/1/2005,6/30/2006,Wyeth Pharmaceuticals CIHR/Rx&D Research Program - Fellowships,,56250,200405,0,0,Clinical
91120,Noria Harir,0,0,0,0,0,0,0,10/1/2008,7/31/2009,Fellowship - CIHR/Health Canada Science PolicyCIHR/Rx&D - Wyeth Pharmaceuticals Research Program,,38333,200708,0,0,Clinical
102425,KHALED Khoufache,0,0,0,0,0,0,0,5/1/2010,6/30/2011,Fellowship - CIHR/Health Canada Science PolicyCIHR/Rx&D - Wyeth Pharmaceuticals Research Program,,51667,200910,0,0,Clinical
114918,Chandrakant Tayade,0,0,0,0,0,0,0,10/1/2011,9/30/2016,Operating Grant,"Queen's University (Kingston, Ontario)",483410,201011,0,0,Biomedical
121186,Jocelyn Wessels,0,0,0,0,0,0,0,5/1/2012,4/30/2015,Doctoral: Vanier Canada Graduate Scholarships,McMaster University,150000,201112,0,0,Biomedical
129657,Lori Anne Brotto,0,0,0,0,0,0,0,7/1/2013,6/30/2014,"Dissemination Events - Priority Announcement: Gender, Sex and Health Research",Vancouver Coastal Health Research Institute,24988,201213,0,0,Clinical
130102,Innie Chen,0,0,0,0,0,0,0,9/1/2013,8/31/2014,Master's Award: Canada Graduate Scholarships,University of British Columbia,17500,201213,0,0,Clinical
134043,Warren Foster,0,0,0,0,0,0,0,3/1/2014,2/28/2015,"Operating Grant - PA: Gender, Sex and Health Research - Integration and Innovation",McMaster University,100000,201314,0,0,Biomedical
152953,Chandrakant Tayade,0,0,0,0,0,0,0,4/1/2017,3/31/2022,Project Grant,"Queen's University (Kingston, Ontario)",632576,201617,0,0,Biomedical
153708,Vivian Lac,0,0,0,0,0,0,0,5/1/2017,4/30/2018,Master's Award: Canada Graduate Scholarships,University of British Columbia,17500,201617,0,0,Biomedical
153905,Kate Wahl,0,0,0,0,0,0,0,9/1/2017,8/31/2018,Master's Award: Canada Graduate Scholarships,University of British Columbia,17500,201617,0,0,Clinical
158688,Lindsey Symons,0,0,0,0,0,0,0,9/1/2018,8/31/2019,Master's Award: Canada Graduate Scholarships,"Queen's University (Kingston, Ontario)",17500,201718,0,0,Biomedical
158820,Ryan Marks,0,0,0,0,0,0,0,5/1/2018,4/30/2019,Master's Award: Canada Graduate Scholarships,"Queen's University (Kingston, Ontario)",17500,201718,0,0,Biomedical
161354,Michael Anglesio,0,0,0,0,0,0,0,11/1/2018,10/31/2021,"Operating Grant: Early Career Investigator Grants in Maternal, Reproductive, Child & Youth Health",University of British Columbia,108650,201819,0,0,Biomedical
165312,Caroline Lee,0,0,0,0,0,0,0,5/1/2019,8/31/2020,Master's Award: Canada Graduate Scholarships,University of British Columbia,23333,201819,0,0,Biomedical
165342,Jeremy Wang,0,0,0,0,0,0,0,9/1/2019,12/31/2020,Master's Award: Canada Graduate Scholarships,University of British Columbia,23333,201819,0,0,Biomedical
165364,Jenna Miller,0,0,0,0,0,0,0,9/1/2019,12/31/2020,Master's Award: Canada Graduate Scholarships,University of British Columbia,23333,201819,0,0,Biomedical
168271,Paul Yong,0,0,0,0,0,0,0,1/1/2020,12/31/2020,Planning and Dissemination Grant - Institute Community Support,University of British Columbia,10000,201920,0,0,Clinical
169731,Paul Yong,0,0,0,0,0,0,0,3/1/2020,2/28/2021,Operating Grant: Women's Health Clinical Mentorship Grant,University of British Columbia,55215,201920,0,0,Clinical
169734,Olga Bougie,0,0,0,0,0,0,0,3/1/2020,2/28/2021,Operating Grant: Women's Health Clinical Mentorship Grant,"Queen's University (Kingston, Ontario)",49997,201920,0,0,Clinical
172273,Alicia Long,0,0,0,0,0,0,0,5/1/2020,4/30/2021,Master's Award: Canada Graduate Scholarships,University of British Columbia,17500,201920,0,0,Clinical
175113,Chandrakant Tayade,0,0,0,0,0,0,0,4/1/2021,3/31/2026,Project Grant,"Queen's University (Kingston, Ontario)",868275,202021,0,0,Biomedical
175982,Danielle Perro,0,0,0,0,0,0,0,5/1/2021,3/21/2023,Doctoral Award: Doctoral Foreign Study Award (DFSA),University of Oxford (England),70000,202021,0,0,Biomedical
177003,Parveen Johal,0,0,0,0,0,0,0,5/1/2021,4/30/2022,Master's Award: Canada Graduate Scholarships,University of British Columbia,17500,202021,0,0,Clinical
179822,Paul Yong,0,0,0,0,0,0,0,3/1/2022,2/28/2023,Project Grant - Priority Announcement: Patient-Oriented Research,University of British Columbia,100000,202122,0,0,Clinical
179880,Paul Yong,0,0,0,0,0,0,0,2/1/2022,1/31/2024,Operating Grant: Addressing the Wider Health Impacts of COVID-19 - Impact of deferred/displaced care on health,University of British Columbia,500000,202122,0,0,Clinical
182379,Jalisa Karim,0,0,0,0,0,0,0,9/1/2022,8/31/2023,Master's Award: Canada Graduate Scholarships,University of British Columbia,17500,202122,0,0,Social/Cultural/Environmental/Population Health
182913,Emma Goodwin,0,0,0,0,0,0,0,5/1/2022,4/30/2023,Master's Award: Canada Graduate Scholarships,University of British Columbia,17500,202122,0,0,Clinical
184514,Paul Yong,0,0,0,0,0,0,0,4/1/2022,3/31/2027,Canada Research Chairs - CIHR Funded - Tier 2,University of British Columbia,600000,202122,0,0,
185779,Sarah Maheux-Lacroix,0,0,0,0,0,0,0,3/1/2023,2/29/2024,Project Grant - Priority Announcement: Women's Health Research - Early Career Researcher Grant,,100000,202223,0,0,Clinical
186322,Gillian Hanley,0,0,0,0,0,0,0,3/1/2023,2/29/2024,Project Grant - Priority Announcement: Early Detection/Cancer Prevention,University of British Columbia,100000,202223,0,0,Clinical
185853,Linda McLean,0,0,0,0,0,0,0,4/1/2023,3/31/2024,Project Grant,University of Ottawa,100000,202223,0,0,Biomedical
185854,Chandrakant Tayade,0,0,0,0,0,0,0,4/1/2023,3/31/2024,Project Grant,"Queen's University (Kingston, Ontario)",100000,202223,0,0,Biomedical
188442,Avonae Gentles,0,0,0,0,0,0,0,1/1/2024,12/31/2024,Master's Award: Canada Graduate Scholarships,University of British Columbia,20667,202223,0,0,Clinical
189817,Stanimira Aleksieva,0,0,0,0,0,0,0,5/1/2023,4/30/2024,Master's Award: Canada Graduate Scholarships,"Queen's University (Kingston, Ontario)",17500,202223,0,0,Biomedical
189967,Chandrakant Tayade,0,0,0,0,0,0,0,10/1/2023,9/30/2028,Project Grant,"Queen's University (Kingston, Ontario)",914176,202223,0,0,Biomedical
190104,Gillian Hanley,0,0,0,0,0,0,0,10/1/2023,9/30/2027,Project Grant,University of British Columbia,680851,202223,0,0,Clinical
190270,Amanda Howard,0,0,0,0,0,0,0,10/1/2023,9/30/2027,Project Grant,University of British Columbia,455176,202223,0,0,Social/Cultural/Environmental/Population Health
191337,Chandrakant Tayade,0,0,0,0,0,0,0,2/1/2024,1/31/2025,Catalyst Grant:National Women's Health Research Initiative: Innovation Fund - Biomedical Discovery Grants,"Queen's University (Kingston, Ontario)",150000,202324,0,0,Biomedical
192826,Hilary Brown,0,0,0,0,0,0,0,3/1/2024,2/28/2025,Operating Grant: Data Analysis Using Existing Canadian Databases and Cohorts,University of Toronto Scarborough (ON),74967,202324,0,0,Social/Cultural/Environmental/Population Health
192007,Mathew Leonardi,0,0,0,0,0,0,0,4/1/2024,3/31/2027,Project Grant,McMaster University,211649,202324,0,0,Clinical
192791,Jalisa Karim,0,0,0,0,0,0,0,5/1/2024,4/30/2027,Doctoral: Vanier Canada Graduate Scholarships,University of British Columbia,50000,202324,0,0,Social/Cultural/Environmental/Population Health
196207,Tania Di Renna,0,0,0,0,0,0,0,6/1/2024,3/31/2027,Operating Grant: National Women's Health Research Initiative - Innovation Fund - Translational Research,"Women's College Research Institute (Toronto, Ontario)",200000,202324,0,0,Clinical
196211,Mathew Leonardi,0,0,0,0,0,0,0,6/1/2024,3/31/2027,Operating Grant: National Women's Health Research Initiative - Innovation Fund - Translational Research,McMaster University,200000,202324,0,0,Biomedical
196213,Linda McLean,0,0,0,0,0,0,0,6/1/2024,3/31/2027,Operating Grant: National Women's Health Research Initiative - Innovation Fund - Translational Research,University of Ottawa,200000,202324,0,0,Clinical
200244,Mathew Leonardi,0,0,0,0,0,0,0,2/1/2025,1/31/2026,Catalyst Grant: Moving Upstream - Structural Determinants of Health - Patient-Oriented Research Approach,McMaster University,121017,202425,0,0,Health systems/services
198118,Sarah Maheux-Lacroix,0,0,0,0,0,0,0,4/1/2025,3/31/2030,Project Grant,,242505,202425,0,0,Clinical
198185,Sukhbir Singh,0,0,0,0,0,0,0,4/1/2025,3/31/2030,Project Grant,Ottawa Hospital Research Institute,211140,202425,0,0,Biomedical
201666,Mahfuza Sreya,0,0,0,0,0,0,0,9/1/2025,8/31/2026,Master's Award: Canada Graduate Scholarships,University of British Columbia,27000,202425,0,0,Biomedical
202136,Brianne Yarranton,0,0,0,0,0,0,0,5/1/2025,4/30/2026,Master's Award: Canada Graduate Scholarships,University of Toronto,27000,202425,0,0,Clinical
202217,Sophia Alonzi,0,0,0,0,0,0,0,9/1/2025,8/31/2026,Master's Award: Canada Graduate Scholarships,University of Toronto,27000,202425,0,0,Clinical
203274,Nancy-Manuella Wamkeue,0,0,0,0,0,0,0,5/1/2025,8/31/2025,Undergraduate Student Research Awards (USRA),,6000,202526,0,0,Clinical
203798,Paul Yong,0,0,0,0,0,0,0,10/1/2025,9/30/2030,Project Grant,University of British Columbia,182550,202425,0,0,Clinical
204475,Lexi Burt,0,0,0,0,0,0,0,9/1/2025,8/31/2026,Master's Award: Canada Graduate Scholarships,University of British Columbia,27000,202425,0,0,Clinical
205045,Michael Anglesio,0,0,0,0,0,0,0,9/1/2025,8/31/2027,CIHR-ICR / Cancer Research Society Partnership - Research Grants - Cancer Prevention,University of British Columbia,39375,202425,0,0,
206910,Mathew Leonardi,0,0,0,0,0,0,0,2/1/2026,1/31/2027,Prize - IHDCYH Talks - Videos,McMaster University,3500,202526,0,0,
